"Company";"Company_Old";"NAIC";"Plan";"State";"Area";"Zip_Lookup_Code";"Gender";"T/NT";"Couple_Fac";"Eff_Date";"Rate_Type";"Age_For_Sorting";"Lowest_Rate?";"Highest_Rate?";"Age";"Monthly_Rate";"Quarterly_Rate";"Semi-Annual_Rate";"Annual_Rate";"Policy Fee";"Household Discount"
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";2;5923.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"N";"85";180.87;542.61;1085.22;2170.44;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";2;5923.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"N";"70";136.76;410.28;820.56;1641.12;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";2;5923.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"N";"85";178.12;534.36;1068.72;2137.44;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";2;5923.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"N";"70";150.44;451.32;902.64;1805.28;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";2;5923.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"N";"85";195.93;587.79;1175.58;2351.16;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";3;5922.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"Y";"70";152.77;458.31;916.62;1833.24;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";3;5922.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"Y";"85";198.96;596.88;1193.76;2387.52;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";3;5922.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"Y";"70";168.05;504.15;1008.30;2016.60;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";3;5922.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"Y";"85";218.86;656.58;1313.16;2626.32;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";3;5922.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"Y";"70";165.48;496.44;992.88;1985.76;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";3;5922.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"Y";"85";215.53;646.59;1293.18;2586.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";3;5922.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"Y";"70";182.03;546.09;1092.18;2184.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"MI";3;5922.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"Y";"85";237.08;711.24;1422.48;2844.96;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"TN";1;5184.00;"Female";"Non-Tobacco";"";9/1/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";125.29;375.87;751.74;1503.48;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"TN";1;5184.00;"Female";"Non-Tobacco";"";9/1/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";164.29;492.87;985.74;1971.48;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"TN";1;5184.00;"Female";"Tobacco";"";9/1/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";137.82;413.46;826.92;1653.84;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"TN";1;5184.00;"Female";"Tobacco";"";9/1/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";180.72;542.16;1084.32;2168.64;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"TN";1;5184.00;"Male";"Non-Tobacco";"";9/1/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";134.25;402.75;805.50;1611.00;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"TN";1;5184.00;"Male";"Non-Tobacco";"";9/1/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";176.06;528.18;1056.36;2112.72;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"TN";1;5184.00;"Male";"Tobacco";"";9/1/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";147.68;443.04;886.08;1772.16;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"TN";1;5184.00;"Male";"Tobacco";"";9/1/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";193.67;581.01;1162.02;2324.04;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";1;4615.00;"Female";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";110.68;332.04;664.08;1328.16;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";1;4615.00;"Female";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";148.44;445.32;890.64;1781.28;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";1;4615.00;"Female";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";121.75;365.25;730.50;1461.00;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";1;4615.00;"Female";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";163.28;489.84;979.68;1959.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";1;4615.00;"Male";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";120.65;361.95;723.90;1447.80;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";1;4615.00;"Male";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";161.55;484.65;969.30;1938.60;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";1;4615.00;"Male";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";132.72;398.16;796.32;1592.64;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";1;4615.00;"Male";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";177.71;533.13;1066.26;2132.52;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";2;4616.00;"Female";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";127.28;381.84;763.68;1527.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";2;4616.00;"Female";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";170.71;512.13;1024.26;2048.52;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";2;4616.00;"Female";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";140.01;420.03;840.06;1680.12;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";2;4616.00;"Female";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";187.78;563.34;1126.68;2253.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";2;4616.00;"Male";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";138.75;416.25;832.50;1665.00;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";2;4616.00;"Male";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";185.78;557.34;1114.68;2229.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";2;4616.00;"Male";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";152.63;457.89;915.78;1831.56;;
"Aetna Life Insurance Company";"Aetna";60054.00;"A";"WI";2;4616.00;"Male";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";204.36;613.08;1226.16;2452.32;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";1;5924.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"Y";"N";"70";153.04;459.12;918.24;1836.48;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";1;5924.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"Y";"N";"85";226.60;679.80;1359.60;2719.20;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";1;5924.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"Y";"N";"70";168.34;505.02;1010.04;2020.08;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";1;5924.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"Y";"N";"85";249.26;747.78;1495.56;2991.12;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";1;5924.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"Y";"N";"70";166.43;499.29;998.58;1997.16;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";1;5924.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"Y";"N";"85";246.45;739.35;1478.70;2957.40;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";1;5924.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"Y";"N";"70";183.07;549.21;1098.42;2196.84;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";1;5924.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"Y";"N";"85";271.10;813.30;1626.60;3253.20;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";2;5923.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"N";"70";161.09;483.27;966.54;1933.08;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";2;5923.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"N";"85";238.53;715.59;1431.18;2862.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";2;5923.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"N";"70";177.20;531.60;1063.20;2126.40;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";2;5923.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"N";"85";262.38;787.14;1574.28;3148.56;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";2;5923.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"N";"70";175.19;525.57;1051.14;2102.28;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";2;5923.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"N";"85";259.42;778.26;1556.52;3113.04;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";2;5923.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"N";"70";192.71;578.13;1156.26;2312.52;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";2;5923.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"N";"85";285.36;856.08;1712.16;3424.32;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";3;5922.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"Y";"70";194.92;584.76;1169.52;2339.04;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";3;5922.00;"Female";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"Y";"85";288.62;865.86;1731.72;3463.44;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";3;5922.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"Y";"70";214.41;643.23;1286.46;2572.92;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";3;5922.00;"Female";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"Y";"85";317.48;952.44;1904.88;3809.76;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";3;5922.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"Y";"70";211.98;635.94;1271.88;2543.76;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";3;5922.00;"Male";"Non-Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"Y";"85";313.90;941.70;1883.40;3766.80;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";3;5922.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";70.00;"N";"Y";"70";233.18;699.54;1399.08;2798.16;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"MI";3;5922.00;"Male";"Tobacco";"";1/1/2013 0:00:00;"Attained Age";85.00;"N";"Y";"85";345.29;1035.87;2071.74;4143.48;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"TN";1;5184.00;"Female";"Non-Tobacco";"";9/1/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";166.65;499.95;999.90;1999.80;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"TN";1;5184.00;"Female";"Non-Tobacco";"";9/1/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";269.08;807.24;1614.48;3228.96;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"TN";1;5184.00;"Female";"Tobacco";"";9/1/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";183.32;549.96;1099.92;2199.84;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"TN";1;5184.00;"Female";"Tobacco";"";9/1/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";295.99;887.97;1775.94;3551.88;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"TN";1;5184.00;"Male";"Non-Tobacco";"";9/1/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";178.36;535.08;1070.16;2140.32;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"TN";1;5184.00;"Male";"Non-Tobacco";"";9/1/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";288.01;864.03;1728.06;3456.12;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"TN";1;5184.00;"Male";"Tobacco";"";9/1/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";196.20;588.60;1177.20;2354.40;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"TN";1;5184.00;"Male";"Tobacco";"";9/1/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";316.81;950.43;1900.86;3801.72;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";1;4615.00;"Female";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";145.89;437.67;875.34;1750.68;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";1;4615.00;"Female";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";235.58;706.74;1413.48;2826.96;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";1;4615.00;"Female";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";160.48;481.44;962.88;1925.76;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";1;4615.00;"Female";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";259.14;777.42;1554.84;3109.68;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";1;4615.00;"Male";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";156.11;468.33;936.66;1873.32;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";1;4615.00;"Male";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";252.03;756.09;1512.18;3024.36;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";1;4615.00;"Male";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";171.73;515.19;1030.38;2060.76;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";1;4615.00;"Male";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";277.24;831.72;1663.44;3326.88;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";2;4616.00;"Female";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";167.76;503.28;1006.56;2013.12;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";2;4616.00;"Female";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";270.91;812.73;1625.46;3250.92;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";2;4616.00;"Female";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";184.55;553.65;1107.30;2214.60;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";2;4616.00;"Female";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";298.01;894.03;1788.06;3576.12;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";2;4616.00;"Male";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";179.52;538.56;1077.12;2154.24;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";2;4616.00;"Male";"Non-Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";289.82;869.46;1738.92;3477.84;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";2;4616.00;"Male";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";197.49;592.47;1184.94;2369.88;;
"Aetna Life Insurance Company";"Aetna";60054.00;"F";"WI";2;4616.00;"Male";"Tobacco";"";8/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";318.82;956.46;1912.92;3825.84;;
"AFLAC";"AFLAC";60380.00;"A";"AK";1;7205.00;"Female";"Non-Tobacco";"";12/3/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";115.87;353.63;707.27;1414.54;"$20";
"AFLAC";"AFLAC";60380.00;"A";"AK";1;7205.00;"Female";"Non-Tobacco";"";12/3/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";136.47;415.42;830.84;1661.68;"$20";
"AFLAC";"AFLAC";60380.00;"A";"AK";1;7205.00;"Female";"Tobacco";"";12/3/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";133.55;406.67;813.35;1626.70;"$20";
"AFLAC";"AFLAC";60380.00;"A";"AK";1;7205.00;"Female";"Tobacco";"";12/3/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";157.23;477.72;955.43;1910.87;"$20";
"AFLAC";"AFLAC";60380.00;"A";"AK";1;7205.00;"Male";"Non-Tobacco";"";12/3/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";129.85;395.56;791.11;1582.22;"$20";
"AFLAC";"AFLAC";60380.00;"A";"AK";1;7205.00;"Male";"Non-Tobacco";"";12/3/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";154.07;468.23;936.46;1872.92;"$20";
"AFLAC";"AFLAC";60380.00;"A";"AK";1;7205.00;"Male";"Tobacco";"";12/3/2012 0:00:00;"Attained Age";70.00;"Y";"Y";"70";149.62;454.87;909.74;1819.48;"$20";
"AFLAC";"AFLAC";60380.00;"A";"AK";1;7205.00;"Male";"Tobacco";"";12/3/2012 0:00:00;"Attained Age";85.00;"Y";"Y";"85";177.49;538.48;1076.97;2153.93;"$20";
"AFLAC";"AFLAC";60380.00;"A";"MI";1;5507.00;"Female";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";112.95;345.00;690.00;1380.00;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";1;5507.00;"Female";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";133.03;405.25;810.50;1621.00;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";1;5507.00;"Female";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";130.20;396.75;793.50;1587.00;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";1;5507.00;"Female";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";153.29;466.05;932.11;1864.21;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";1;5507.00;"Male";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";126.57;385.88;771.75;1543.50;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";1;5507.00;"Male";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";150.21;456.81;913.62;1827.23;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";1;5507.00;"Male";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"Y";"N";"70";145.86;443.75;887.51;1775.01;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";1;5507.00;"Male";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"Y";"N";"85";173.03;525.31;1050.62;2101.24;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";2;5508.00;"Female";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"N";"N";"70";132.95;405.00;810.00;1620.00;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";2;5508.00;"Female";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"N";"N";"85";156.51;475.73;951.46;1902.92;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";2;5508.00;"Female";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"N";"N";"70";153.19;465.75;931.50;1863.00;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";2;5508.00;"Female";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"N";"N";"85";180.30;547.11;1094.21;2188.43;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";2;5508.00;"Male";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"N";"N";"70";148.93;452.98;905.97;1811.94;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";2;5508.00;"Male";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"N";"N";"85";176.68;536.25;1072.50;2145.01;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";2;5508.00;"Male";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"N";"N";"70";171.57;520.93;1041.85;2083.71;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";2;5508.00;"Male";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"N";"N";"85";203.47;616.67;1233.34;2466.68;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";3;5509.00;"Female";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";147.94;450.00;900.00;1800.00;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";3;5509.00;"Female";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";174.13;528.59;1057.18;2114.35;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";3;5509.00;"Female";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";170.43;517.50;1035.00;2070.00;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";3;5509.00;"Female";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";200.55;607.90;1215.79;2431.58;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";3;5509.00;"Male";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";165.70;503.32;1006.63;2013.26;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";3;5509.00;"Male";"Non-Tobacco";"";10/1/2012 0:00:00;"Attained Age";85.00;"N";"Y";"85";196.53;595.84;1191.67;2383.34;"$20";"7%"
"AFLAC";"AFLAC";60380.00;"A";"MI";3;5509.00;"Male";"Tobacco";"";10/1/2012 0:00:00;"Attained Age";70.00;"N";"Y";"70";190.86;578.81;1157.62;2315.23;"$20";"7%"
